QTY,VALUE,COMPONENT,COST,DO WE HAVE IT?,,,
2,10uF,Cappacitor,,9,,,
1,RED,LED,0,YES,,,
1,D_Schottky,Diode,,2,,,
3,M3,Mounting Hole,,30,,,
1,XT30U-F,Battery conneector,,2F and 2M,,,
1,75,Resistor,,,,,
4,100,Resistor,,6,,,
4,10k,Resistor,,10,,,
1,SW_SPDT,Switch (3 pin header),,2 types 8 in total,,,
1,SW_Push,Button,0,YES,,,
1,ESP32-DEVKIT-V1,MCU,,3,,,
3,VL53L0X,Laser Sensor,,4,,,
1,TSOP382xx,IR Sensor,,"1 module, ",,,
4,QRE1113,Line Rensor,,10 smd 11 thd,,,
1,LD1117AV33,Stabiliastor,,2,,,
1,ROB-14450,Motor Driver,,4+1,,,
15x2,"2,54mm",Pin Header,,,,,
8x2,"2,54mm",Pin Header,,,,,
3,CUSTOM MADE,Laser sensor connector,,,,,
2,12V 150/300/500 RPM,DC Motors,,8,,,
1,"450mAh, 12,6V full charge",Battery/Terrorist battery,,1+1,,,
2,JSUMO,Silicon wheels,,3,,,
2,JSUMO/Custom made,Aluminuim wheels,,2+2,,,
1,Tester,Battery Tester,,1,,,
