"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2","2","10uF","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm",""
"2","D1","1","RLED","LED_THT:LED_D5.0mm",""
"3","D2","1","D_Schottky","Diode_THT:D_A-405_P10.16mm_Horizontal",""
"4","H1, H2, H3","3","MountingHole M3","MountingHole:MountingHole_3.2mm_M3",""
"5","IC1","1","XT30U-F","sumec_library:AMASS_XT30U-M_1x02_P5.0mm_Vertical",""
"6","R1","1","75 ","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"7","R2, R4, R6, R8","4","100","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"8","R3, R5, R7, R9","4","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"9","SW1","1","SW_SPDT","Connector_JST:JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical",""
"10","SW3","1","SW_Push","Button_Switch_THT:SW_PUSH_6mm",""
"11","U1","1","ESP32-DEVKIT-V1","sumec_library:MODULE_ESP32_DEVKIT_V1 B_Cu - PADS and no mount holes",""
"12","U2, U3, U4","3","VL53L0X","sumec_library:GY-530 VL53L0X",""
"13","U5","1","TSOP382xx","OptoDevice:Vishay_MINICAST-3Pin",""
"14","U6, U7, U8, U9","4","QRE1113","sumec_library:OnSemi_CASE100AQ - QRE1113",""
"15","U10","1","LD1117AV33","Package_TO_SOT_THT:TO-220-3_Vertical",""
"16","U11","1","ROB-14450","sumec_library:ROB-14450 - TB6612FNG (MOTOR DRIVER)",""
